[1][290/1410] acc_real: 0.015625, acc_fake: NA
[1][291/1410] acc_real: 0.015625, acc_fake: NA
[1][292/1410] acc_real: 0.0078125, acc_fake: NA
[1][293/1410] acc_real: 0.0078125, acc_fake: NA
[1][294/1410] acc_real: 0.0, acc_fake: NA
[1][295/1410] acc_real: 0.0078125, acc_fake: NA
[1][296/1410] acc_real: 0.015625, acc_fake: NA
[1][297/1410] acc_real: 0.0, acc_fake: NA
[1][298/1410] acc_real: 0.0, acc_fake: NA
[1][299/1410] acc_real: 0.0234375, acc_fake: NA
[1][300/1410] acc_real: 0.0234375, acc_fake: NA
[1][301/1410] acc_real: 0.0, acc_fake: NA
[1][302/1410] acc_real: 0.0, acc_fake: NA
[1][303/1410] acc_real: 0.0, acc_fake: NA
[1][304/1410] acc_real: 0.0234375, acc_fake: NA
[1][305/1410] acc_real: 0.015625, acc_fake: NA
[1][306/1410] acc_real: 0.0078125, acc_fake: NA
[1][307/1410] acc_real: 0.0, acc_fake: NA
[1][308/1410] acc_real: 0.0, acc_fake: NA
[1][309/1410] acc_real: 0.0, acc_fake: NA
[1][310/1410] acc_real: 0.0078125, acc_fake: NA
[1][311/1410] acc_real: 0.015625, acc_fake: NA
[1][312/1410] acc_real: 0.0, acc_fake: NA
[1][313/1410] acc_real: 0.0, acc_fake: NA
[1][314/1410] acc_real: 0.0078125, acc_fake: NA
[1][315/1410] acc_real: 0.0078125, acc_fake: NA
[1][316/1410] acc_real: 0.0, acc_fake: NA
[1][317/1410] acc_real: 0.0, acc_fake: NA
[1][318/1410] acc_real: 0.0078125, acc_fake: NA
[1][319/1410] acc_real: 0.015625, acc_fake: NA
[1][320/1410] acc_real: 0.0, acc_fake: NA
[1][321/1410] acc_real: 0.0, acc_fake: NA
[1][322/1410] acc_real: 0.015625, acc_fake: NA
[1][323/1410] acc_real: 0.0, acc_fake: NA
[1][324/1410] acc_real: 0.0078125, acc_fake: NA
[1][325/1410] acc_real: 0.015625, acc_fake: NA
[1][326/1410] acc_real: 0.0078125, acc_fake: NA
[1][327/1410] acc_real: 0.0, acc_fake: NA
[1][328/1410] acc_real: 0.0, acc_fake: NA
